ID (read-only),Parent ID (read-only),Date (UTC),Type,Tag,From Wallet (read-only),From Wallet ID,From Amount,From Currency,To Wallet (read-only),To Wallet ID,To Amount,To Currency,Fee Amount,Fee Currency,Net Worth Amount,Net Worth Currency,Fee Worth Amount,Fee Worth Currency,Net Value (read-only),Fee Value (read-only),Value Currency (read-only),Deleted,From Source (read-only),To Source (read-only),Negative Balances (read-only),Missing Rates (read-only),Missing Cost Basis (read-only),Synced To Accounting At (UTC read-only),TxSrc,TxDest,TxHash,Description
D6A533CED4B4480A15C4D9A9AA83CC10,,2023-06-05 23:46:59,withdrawal,cost,TBK RP Node Wallet;eth,CE7CC245186E46428C104868165380FD,0.0043364566,ETH;3,,,0.0,,0.0,,0.0,,0.0,,7.8675833686,0.0,USD;10,false,api,,false,false,,,0xc23b28337896ab92d7e8ed0303cec0609a58143b,0x7f4135195df2e56b07fa217b466e6bdde7760f76,0x773f6535dfcb378b41518fb6429bdb5688fd807f839dd495b46ef9ec8997dc05,
4FD78746C626D8E99F21869197395B4C,,2023-06-05 23:47:11,withdrawal,cost,TBK RP Node Wallet;eth,CE7CC245186E46428C104868165380FD,0.0042602302,ETH;3,,,0.0,,0.0,,0.0,,0.0,,7.7292866871,0.0,USD;10,false,api,,false,false,,,0xc23b28337896ab92d7e8ed0303cec0609a58143b,0xd9cbf4f16b04b5dfd60ce9918d8cda3ffd36f71d,0x33c15594fd039d558ec6db45e5edbe23375b6abfdc7d4d23f2526ab792805f68,
37C016F8C3B886D1BD18D7FFC21ADD24,,2023-06-05 23:47:23,withdrawal,cost,TBK RP Node Wallet;eth,CE7CC245186E46428C104868165380FD,0.0043116684,ETH;3,,,0.0,,0.0,,0.0,,0.0,,7.8226104222,0.0,USD;10,false,api,,false,false,,,0xc23b28337896ab92d7e8ed0303cec0609a58143b,0xe22a7a2f0c235a99b90cde79e4d9dfbd33077dcd,0x71b2d253b63462a6430cd956145eedbb289b4b9e79279b4628a4265164c103e4,
210C064C708DFDC2D6AD90C3A9B94D5F,,2023-06-05 23:47:35,withdrawal,cost,TBK RP Node Wallet;eth,CE7CC245186E46428C104868165380FD,0.0044972628,ETH;3,,,0.0,,0.0,,0.0,,0.0,,8.159332209,0.0,USD;10,false,api,,false,false,,,0xc23b28337896ab92d7e8ed0303cec0609a58143b,0x333ae4f189ae750acc7604e4fb94f5aed7f2bde4,0xeee3c988dc71e06275ffb036d739287b9eae5fd3bc47111fbd632596f76a9b7e,
763E38B64A5CD116C1F0BD96C4DFFAB7,,2023-06-05 23:47:47,withdrawal,cost,TBK RP Node Wallet;eth,CE7CC245186E46428C104868165380FD,0.0044797711,ETH;3,,,0.0,,0.0,,0.0,,0.0,,8.1275972187,0.0,USD;10,false,api,,false,false,,,0xc23b28337896ab92d7e8ed0303cec0609a58143b,0xf68ec81981f6c17a056ed9595fe8ff07ed3dc20a,0x06e2bbc4cead3bc53c3cc6f43fc528c469d5ccba44de4ab855d654c5b39bb87d,
D6C693264DB4A4C7B1028C09891A1D3E,,2023-06-05 23:47:59,withdrawal,cost,TBK RP Node Wallet;eth,CE7CC245186E46428C104868165380FD,0.0044677664,ETH;3,,,0.0,,0.0,,0.0,,0.0,,8.1058172295,0.0,USD;10,false,api,,false,false,,,0xc23b28337896ab92d7e8ed0303cec0609a58143b,0x963f32f76902954cd5f3b8ec808de107c213e34f,0x3f8181d61259cdff8f79563ce43d82894c7f4424d52a080dec627dad2b2558fb,
5190A84C3E44A58A4C26481BF5BAE7D7,,2023-06-05 23:48:11,withdrawal,cost,TBK RP Node Wallet;eth,CE7CC245186E46428C104868165380FD,0.0045096112,ETH;3,,,0.0,,0.0,,0.0,,0.0,,8.1817357692,0.0,USD;10,false,api,,false,false,,,0xc23b28337896ab92d7e8ed0303cec0609a58143b,0xedd6827632feb4a622fe57fcc8aaeb00a3412673,0x6b1bafd32bd94585b5911c07f3dfee112fa20153691744e2fadfea97a970060d,
D78B63517764B761A16E9381B8DBBF64,,2023-06-05 23:48:23,withdrawal,cost,TBK RP Node Wallet;eth,CE7CC245186E46428C104868165380FD,0.0043291761,ETH;3,,,0.0,,0.0,,0.0,,0.0,,7.8543744411,0.0,USD;10,false,api,,false,false,,,0xc23b28337896ab92d7e8ed0303cec0609a58143b,0x46cb087bc8b3ad97d1079bcfdb802e1bf79b7f51,0x6844c77a175af3188c5f6637026dc3481f26290093a254ca6474b3e42e5e9eb0,
E40035DFA267466CBB8535D6FEDD851E,,2023-06-05 23:48:35,withdrawal,cost,TBK RP Node Wallet;eth,CE7CC245186E46428C104868165380FD,0.0041256737,ETH;3,,,0.0,,0.0,,0.0,,0.0,,7.4851623757,0.0,USD;10,false,api,,false,false,,,0xc23b28337896ab92d7e8ed0303cec0609a58143b,0x2d8703bd95385461c31efca56370f89681fa8c72,0x7c71a36504d7e320e47e438c17b8e40cfc16fcbd883b7c5483213ea3963158e2,
90E63A4039D27ED2A1A44627A07A99E7,,2023-06-05 23:48:47,withdrawal,cost,TBK RP Node Wallet;eth,CE7CC245186E46428C104868165380FD,0.0041469462,ETH;3,,,0.0,,0.0,,0.0,,0.0,,7.523756828,0.0,USD;10,false,api,,false,false,,,0xc23b28337896ab92d7e8ed0303cec0609a58143b,0xc5efba35453309421fe3ce8bcce207f502512319,0xffed9ec8ed1daf1591b2ebd28fabc717a7683f07f7304b53b80374f73f99849a,
6ED7E0D5A95771CA1BBFBB6199CE49CE,,2023-06-05 23:48:59,withdrawal,cost,TBK RP Node Wallet;eth,CE7CC245186E46428C104868165380FD,0.0043770876,ETH;3,,,0.0,,0.0,,0.0,,0.0,,7.9412997249,0.0,USD;10,false,api,,false,false,,,0xc23b28337896ab92d7e8ed0303cec0609a58143b,0x429201f5fed05b5fa06474dfef9a22e5619316b8,0x4af3547c4c6056efdeec0843bcdbe078e72b8e3dba5d9cc3160f3c5f659bcc8c,
341FAFDDB7E4012B2184E89F431F5108,,2023-06-14 01:31:59,withdrawal,cost,TBK RP Node Wallet;eth,CE7CC245186E46428C104868165380FD,0.0053287019,ETH;3,,,0.0,,0.0,,0.0,,0.0,,9.2946793146,0.0,USD;10,false,api,,false,false,,,0xc23b28337896ab92d7e8ed0303cec0609a58143b,0x7eccbbd05830edf593d30005b8f69e965af4d59f,0xf4f490036a4860bc58abdafc5872c6c00d8b95b5d4a4ad93bf99d094726e6e34,
